title,url,date,author,category,excerpt,content_length,tags,notes
Eyewitness Accounts of WWI,https://www.worldhistory.org/article/2832/eyewitness-accounts-of-wwi/,06-Nov-25,Mark Cartwright,History,"The First World War (1914-18) was the first truly global conflict and the first to be fully mechanised. Armies clashed across continents on land, in the air...",22008,,
The 1918 Armistice with Germany,https://www.worldhistory.org/article/2833/the-1918-armistice-with-germany/,11-Nov-25,Mark Cartwright,History,The armistice that ended the First World War (1914-18) on the Western Front was signed between Germany and the Allies on 11 November 1918. The guns fell silent...,18461,,
World History Encyclopedia,https://www.worldhistory.org/,,,History,"The free online history encyclopedia with fact-checked articles, images, videos, maps, timelines and more; operated as a non-profit organization.",6896,,
"The Death of David ""Davy"" Crockett at the Alamo",https://www.worldhistory.org/article/2835/the-death-of-david-davy-crockett-at-the-alamo,13-Nov-25,,History,"The death of David ""Davy"" Crockett at the Battle of the Alamo (6 March 1836) has been understood as a heroic last stand at least since 1880 when Texan historian...",22096,,
Interview: Catherine of Braganza,https://www.worldhistory.org/article/2834/interview-catherine-of-braganza,12-Nov-25,,History,"Though Catherine of Braganza (1638-1705) wed Charles II of England (reign 1660-1685) in a union of great political consequence, her life and impact in Restoration...",18092,,
Peasant Life in a Medieval Manor,https://www.worldhistory.org/article/2826/peasant-life-in-a-medieval-manor,07-Nov-25,,History,Bodo was a early 9th-century Frankish farmer. He and his family hailed from a manor owned by the monastery of St.-Germain-des-Prés near Paris and worked as its...,17929,,
HMS Victory,https://www.worldhistory.org/article/2831/hms-victory,05-Nov-25,,History,"Smasher of Napoleon's invasion dream, veteran of three major wars, and scene of the death of the Royal Navy's greatest hero, HMS Victory is one of Britain's most...",13183,,
Battle of Ashdown,https://www.worldhistory.org/article/2829/battle-of-ashdown,04-Nov-25,,History,"The Battle of Ashdown, fought on 8th January 871 in southern England, saw the Kingdom of Wessex defeat the Great Heathen (Viking) Army. This was the first major...",25381,,
Letters of William B. Travis from the Alamo,https://www.worldhistory.org/article/2828/letters-of-william-b-travis-from-the-alamo,31-Oct-25,,History,The letters of William Barret Travis from the Alamo between 23 February and 3 March 1836 provide a first-hand account of the famous siege of the Alamo. Travis...,25575,,
A Brief History of Egyptian Art,https://www.worldhistory.org/article/1077/a-brief-history-of-egyptian-art,30-May-17,,History,"Art is an essential aspect of any civilization. Once the basic human needs have been taken care of such as food, shelter, some form of community law, and a religious...",24879,,
A Brief History of the Dog Collar,https://www.worldhistory.org/article/1605/a-brief-history-of-the-dog-collar,27-Jun-22,,History,"The dog collar, so often taken for granted, has a long and illustrious history. Anyone fortunate enough to share their life with a dog in the present day is participating...",23573,,
A Brief History of the Rose,https://www.worldhistory.org/article/2264/a-brief-history-of-the-rose,16-Aug-23,,History,The rose that grows in many different forms in gardens all over the world today is an evolution of rose-like plants that lived in the northern hemisphere between...,21642,,
A Brief History of Tobacco in the Americas,https://www.worldhistory.org/article/1677/a-brief-history-of-tobacco-in-the-americas,10-Feb-21,,History,"The history of tobacco use in the Americas goes back over 1,000 years when natives of the region chewed or smoked the leaves of the plant now known as Nicotiana...",25960,,
A Brief History of Veterinary Medicine,https://www.worldhistory.org/article/1549/a-brief-history-of-veterinary-medicine,30-Apr-20,,History,"The English word 'veterinarian' as defining one who provides medical care to animals, comes from the Latin verb veheri meaning “to draw” (as in ""pull"") and was...",27269,,
A Confederate Soldier's Tale,https://www.worldhistory.org/article/2783/a-confederate-soldiers-tale,01-Sep-25,,History,Sam Watkins was only 21 when his home state of Tennessee seceded from the Union in the spring of 1861. Swept away by the patriotic fervor and thirst for adventure...,24335,,
A Ghost Story of Ancient Egypt,https://www.worldhistory.org/article/964/a-ghost-story-of-ancient-egypt,28-Oct-16,,History,"The best-known ghost story from ancient Egypt is known, simply, as A Ghost Story but sometimes referenced as Khonsemhab and the Ghost. The story dates from the...",23681,,
A Gift from King Shulgi: A Pair of Gold Earrings,https://www.worldhistory.org/article/1137/a-gift-from-king-shulgi-a-pair-of-gold-earrings,20-Oct-17,,History,"Gold is a treasure, and he who possesses it does all he wishes to in this world, and succeeds in helping souls into paradise.    Christopher Columbus.    On June...",13546,,
A History of Svalbard,https://www.worldhistory.org/article/1922/a-history-of-svalbard,14-Jan-22,,History,Svalbard is an archipelago in the Arctic Ocean on the northwest corner of the Barents Shelf. It is 800 kilometres (497 mi) north of mainland Norway and sits roughly...,26510,,
A Linguistical Analysis of Ancient Celtic Languages,https://www.worldhistory.org/article/2019/a-linguistical-analysis-of-ancient-celtic-language,22-Jun-22,,History,The Celtic languages form a branch of the Indo-European (IE) language family. They derive from Proto-Celtic and are divided into Continental Celtic languages...,29379,,
A Medieval Christmas,https://www.worldhistory.org/article/1288/a-medieval-christmas,01-Dec-18,,History,"Christmas was one of the highlights of the medieval calendar, not only for the rich but also for the peasantry. For the longest holiday of the year, typically...",22433,,
A Model of Christian Charity and the City on a Hill,https://www.worldhistory.org/article/1660/a-model-of-christian-charity-and-the-city-on-a-hil,21-Jan-21,,History,"A Model of Christian Charity is a sermon delivered by the Puritan John Winthrop (l. c. 1588-1649 CE), second governor of the Massachusetts Bay Colony, either...",22249,,
A Praise Poem of Lipit-Estar,https://www.worldhistory.org/article/2210/a-praise-poem-of-lipit-estar,31-Mar-23,,History,"A Praise Poem of Lipit-Estar is a Sumerian praise song honoring Lipit-Estar (also known as Lipit-Ishtar, r. c. 1870 to c. 1860 BCE), the fifth king of the First...",22577,,
A Praise Poem of Shulgi,https://www.worldhistory.org/article/2110/a-praise-poem-of-shulgi,19-Nov-22,,History,A Praise Poem of Shulgi (c. 2020-2000 BCE) is an ancient Sumerian document celebrating the famous run of 200 miles (321.8 km) in one day made by the king Shulgi...,21813,,
A Roman Boy's Rite of Passage,https://www.worldhistory.org/article/2564/a-roman-boys-rite-of-passage,19-Nov-24,,History,"A Roman boy's rite of passage, a ceremony or ritual marking a transitional period in life from childhood to adulthood, was the assuming of the toga virilis, the...",21028,,
